file_path,fruit,label,folder,R,G,B,Status,width,height,aspect_ratio
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (108).jpg,Apple,Fresh,Fresh_Apple,208.62837815349798,153.06688910337482,144.37954303401452,Fresh,362,332,1.0903614457831325
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (109).jpg,Apple,Fresh,Fresh_Apple,173.3582311602871,181.6749850478469,128.12199461722489,Fresh,380,352,1.0795454545454546
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (110).jpg,Apple,Fresh,Fresh_Apple,178.34243994347622,131.98072926768447,127.32221329417307,Fresh,374,386,0.9689119170984456
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (131).jpg,Apple,Fresh,Fresh_Apple,175.9545777185664,118.23160504073209,114.41656474545177,Fresh,422,434,0.9723502304147466
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (134).jpg,Apple,Fresh,Fresh_Apple,174.79528773872408,187.07502031694432,124.07521078829744,Fresh,368,428,0.8598130841121495
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (143).jpg,Apple,Fresh,Fresh_Apple,163.8980346768337,105.12390500181554,100.71552174110384,Fresh,432,408,1.0588235294117647
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (144).jpg,Apple,Fresh,Fresh_Apple,146.1775703952467,153.18121932317231,107.51737277189356,Fresh,196,158,1.240506329113924
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (145).jpg,Apple,Fresh,Fresh_Apple,145.0668,90.0606,85.8362,Fresh,100,100,1.0
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (146).jpg,Apple,Fresh,Fresh_Apple,117.64875573091166,125.28233556691941,58.7093270587198,Fresh,428,424,1.009433962264151
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (147).jpg,Apple,Fresh,Fresh_Apple,158.0834685223133,175.76597364526413,133.35835040983608,Fresh,366,384,0.953125
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (148).jpg,Apple,Fresh,Fresh_Apple,171.00970825351214,128.50218011653897,122.24020194763729,Fresh,432,464,0.9310344827586207
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (149).jpg,Apple,Fresh,Fresh_Apple,174.70521857923498,118.70033469945355,104.51204918032786,Fresh,366,400,0.915
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (150).jpg,Apple,Fresh,Fresh_Apple,160.0987679539004,170.81978369312807,126.019147243485,Fresh,302,308,0.9805194805194806
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (151).jpg,Apple,Fresh,Fresh_Apple,148.23368286267996,99.39770210409745,91.25211101882614,Fresh,224,258,0.8682170542635659
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (152).jpg,Apple,Fresh,Fresh_Apple,213.55318188951662,167.48189344005021,156.38012496076584,Fresh,432,472,0.9152542372881356
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (153).jpg,Apple,Fresh,Fresh_Apple,145.41036911438633,96.32015129776966,95.02556410590844,Fresh,374,410,0.9121951219512195
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (154).jpg,Apple,Fresh,Fresh_Apple,148.85902255639098,106.67925495557074,87.26127819548873,Fresh,152,154,0.987012987012987
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (155).jpg,Apple,Fresh,Fresh_Apple,178.11707729231975,191.49946120689654,144.23463623301984,Fresh,528,464,1.1379310344827587
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (156).jpg,Apple,Fresh,Fresh_Apple,154.4212096332786,160.2049261083744,115.97142857142858,Fresh,210,174,1.206896551724138
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (159).jpg,Apple,Fresh,Fresh_Apple,194.25526410164454,156.39754854244583,145.86420923203033,Fresh,262,298,0.8791946308724832
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (161).jpg,Apple,Fresh,Fresh_Apple,198.28795146077755,212.02524154589372,158.24515757994018,Fresh,414,420,0.9857142857142858
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (164).jpg,Apple,Fresh,Fresh_Apple,224.36697525058446,162.11286378416145,152.73302340579906,Fresh,374,398,0.9396984924623115
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (166).jpg,Apple,Fresh,Fresh_Apple,224.23561511812665,181.81076293923056,169.76263968117527,Fresh,382,402,0.9502487562189055
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (167).jpg,Apple,Fresh,Fresh_Apple,203.7358250699212,213.74551002010955,160.08739569609133,Fresh,414,418,0.9904306220095693
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (168).jpg,Apple,Fresh,Fresh_Apple,212.88366693799023,149.0462992082285,148.66993025751074,Fresh,466,464,1.0043103448275863
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (169).jpg,Apple,Fresh,Fresh_Apple,208.30038325871658,162.8897961606295,158.56528116944784,Fresh,364,324,1.123456790123457
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (170).jpg,Apple,Fresh,Fresh_Apple,210.75281974125932,223.36950892491606,178.71407004830917,Fresh,472,414,1.1400966183574879
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (171).jpg,Apple,Fresh,Fresh_Apple,226.519140625,183.21019176136363,169.04481534090908,Fresh,176,160,1.1
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (172).jpg,Apple,Fresh,Fresh_Apple,232.86125388477168,197.8333731771456,182.76007052354768,Fresh,188,178,1.0561797752808988
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (174).jpg,Apple,Fresh,Fresh_Apple,211.12782782782782,223.21547976547976,173.84371514371514,Fresh,378,370,1.0216216216216216
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (175).jpg,Apple,Fresh,Fresh_Apple,213.08984976887518,149.1554635336415,153.30374110352923,Fresh,472,462,1.0216450216450217
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (178).jpg,Apple,Fresh,Fresh_Apple,212.4317348678602,224.06709292412617,162.16803069053708,Fresh,230,204,1.1274509803921569
d:\kulyah\semester 6\bootcamp dbs\capstone\dataset_final2\train\Fresh_Apple\freshApple (180).jpg,Apple,Fresh,Fresh_Apple,167.87942363860583,116.48504446031025,108.4718608424742,Fresh,775,497,1.5593561368209254
